nome_completo,primeira_hab,data_local_uf,data_emissao,validade,identidade_emissor_uf,cpf,num_registro,cat_hab,nacionalidade,filiacao_pai,filiacao_mae
Yago Correia,02/01/2005,"06/07/1966, Vargas do Campo, AL",18/07/2022,25/03/2026,57730859 SSP AL,342.516.907-61,11629628002,D,BRASILEIRO(A),Marcos Vinicius Casa Grande,Ana Costa
Dr. Apollo Cunha,30/06/2000,"15/11/2005, da Rocha, MT",08/05/2023,03/02/2027,24628889 SSP MT,792.480.361-04,74352558509,A1,BRASILEIRO(A),Arthur Miguel Pereira,Evelyn Leão
Hadassa Monteiro,05/09/2003,"24/12/1962, Porto, AL",21/10/2021,02/06/2027,80510198 SSP AL,894.613.507-75,47323489852,B,BRASILEIRO(A),Alexandre Gonçalves,Eloá Barbosa
Levi Correia,24/11/1997,"04/11/1985, Rezende, SP",23/01/2025,09/05/2034,49312713 SSP SP,190.845.263-33,63159085687,DE,BRASILEIRO(A),Miguel Melo,Eloah Andrade
Ana Sophia Moraes,31/01/2005,"26/03/1987, da Paz, PB",06/09/2023,17/12/2031,11410423 SSP PB,973.850.462-74,33129456272,CE,BRASILEIRO(A),Luiz Felipe Monteiro,Cecília Fernandes
Bruna Pacheco,18/10/2000,"28/12/1965, Sousa dos Dourados, BA",30/09/2022,12/04/2027,94333744 SSP BA,415.260.739-43,40849829972,B,BRASILEIRO(A),Juan Rezende,Liz Nogueira
Luiz Otávio Correia,14/01/1999,"30/04/1981, Pacheco do Norte, AM",29/01/2022,29/03/2027,40427230 SSP AM,352.046.879-47,16994801953,D1,BRASILEIRO(A),Sr. Thiago Vieira,Luana Pastor
Dra. Bianca Rios,06/06/1996,"30/03/1955, da Cunha do Galho, RS",17/02/2021,16/04/2027,95821699 SSP RS,712.603.849-69,41316514036,D,BRASILEIRO(A),Yago Ramos,Maria Isis Vargas
Theodoro Macedo,12/12/2001,"04/11/1968, Nascimento do Campo, MT",29/06/2025,17/12/2030,35454415 SSP MT,530.942.768-65,32384583944,C1E,BRASILEIRO(A),Vicente Sá,Luana Lopes
Esther Andrade,18/11/2001,"23/03/2000, Mendes do Galho, AC",12/11/2024,14/12/2029,34714475 SSP AC,869.401.375-48,83695816669,DE,BRASILEIRO(A),Dr. Henry Moreira,Stella Guerra
Mathias da Conceição,04/03/1996,"29/01/1999, Pereira, DF",20/01/2025,02/07/2028,22760022 SSP DF,245.073.189-04,30340750896,CE,BRASILEIRO(A),Luan Albuquerque,Amanda Sales
Levi Nascimento,07/09/2001,"31/10/1970, Martins, PI",13/07/2024,30/12/2032,61526074 SSP PI,159.237.468-91,26160560363,A,BRASILEIRO(A),Luiz Fernando Mendonça,Ísis Castro
Asafe Mendonça,22/11/2000,"14/05/1965, Rodrigues, PA",06/06/2024,29/12/2031,54535901 SSP PA,438.096.572-47,40038627903,D1E,BRASILEIRO(A),Lorenzo Rocha,Ísis Nascimento
Raul da Paz,24/07/2002,"29/04/1970, Ramos das Pedras, GO",09/11/2022,17/12/2030,23274230 SSP GO,195.327.846-91,55842587089,C1E,BRASILEIRO(A),Valentim Borges,Maria Fernanda Almeida
Leonardo Cirino,06/11/2001,"03/08/1996, Ramos, GO",17/07/2023,27/04/2030,93736580 SSP GO,089.321.657-77,11147063233,BE,BRASILEIRO(A),Gustavo Henrique Oliveira,Emilly da Mata
Srta. Letícia da Mata,26/12/2000,"19/01/1992, Dias, PI",04/10/2022,08/03/2031,36188640 SSP PI,369.047.258-00,21254336235,CE,BRASILEIRO(A),Isaac Sousa,Sophie Monteiro
