nome_completo,primeira_hab,data_local_uf,data_emissao,validade,identidade_emissor_uf,cpf,num_registro,cat_hab,nacionalidade,filiacao_pai,filiacao_mae
GAEL PORTO,19/10/2005,"24/03/1998, DA PAZ, AL",19/12/2020,25/09/2029,AL83732911 SSP AL,975.182.643-82,79945760951,CE,BRASILEIRO(A),LUAN NOVAES,DRA. ANA SOPHIA SOUZA
DAVI LUIZ PIMENTA,18/10/1997,"19/06/2006, MELO, ES",02/01/2021,06/05/2029,ES64489901 SSP ES,095.734.861-48,81804317595,A,BRASILEIRO(A),THOMAS GUERRA,EMANUELLA ALVES
BIANCA CAVALCANTE,10/11/2001,"02/07/1974, GUERRA DA MATA, ES",20/02/2022,17/07/2030,ES74319379 SSP ES,814.265.097-58,26940149670,D1E,BRASILEIRO(A),BRAYAN CASA GRANDE,HELOISA CASSIANO
PIETRO NASCIMENTO,17/01/2007,"19/12/1978, CUNHA, PA",25/01/2022,23/11/2028,PA89837726 SSP PA,638.179.254-09,65739762524,CE,BRASILEIRO(A),JOÃO CÂMARA,VITÓRIA FARIAS
LUIZ FERNANDO AZEVEDO,12/04/1996,"17/05/1984, FERNANDES DE PEREIRA, AL",25/08/2025,23/09/2032,AL88365076 SSP AL,714.093.268-96,41256249989,B1,BRASILEIRO(A),SR. FELIPE GARCIA,CATARINA ALMEIDA
RAVY GOMES,12/10/2002,"19/12/1969, SOUZA DO SUL, RO",12/06/2022,04/09/2028,RO99559348 SSP RO,305.967.842-10,10736158590,D1,BRASILEIRO(A),DAVI MIGUEL SILVA,SRTA. BELLA BARROS
DRA. ALICE APARECIDA,22/01/2005,"04/04/1974, OLIVEIRA DO NORTE, MA",27/04/2022,05/04/2026,MA16756383 SSP MA,961.428.735-73,52349203702,C,BRASILEIRO(A),JOÃO PEDRO FERNANDES,ISABELA CAMPOS
JULIANA LIMA,07/04/1997,"26/04/2007, CASA GRANDE, SE",11/03/2022,03/08/2029,SE58072117 SSP SE,694.825.103-05,22563398237,D,BRASILEIRO(A),SR. NOAH NASCIMENTO,MARIA FERNANDA MENDES
DANILO FERNANDES,27/09/2002,"28/11/1964, ARAÚJO DE DA CRUZ, CE",03/03/2021,30/07/2024,CE77905394 SSP CE,072.638.549-29,48269509068,D1,BRASILEIRO(A),LUIZ FELIPE ALBUQUERQUE,ALEXIA DA LUZ
LUCAS GABRIEL DA MOTA,28/11/1996,"12/11/1957, RIOS DE GARCIA, SC",07/05/2023,06/02/2028,SC77303773 SSP SC,831.965.042-98,44674114653,B,BRASILEIRO(A),JOÃO PEDRO CUNHA,JULIANA DA MATA
MARIA FLOR MONTENEGRO,17/10/1998,"27/06/1989, MARTINS, SE",20/09/2021,22/02/2025,SE51619818 SSP SE,493.150.726-34,31147969294,C1E,BRASILEIRO(A),DR. MATHEUS FERNANDES,LÍVIA CARDOSO
PEDRO MIGUEL REZENDE,03/07/2002,"01/02/1975, MONTENEGRO, RS",18/10/2022,17/11/2026,RS44277230 SSP RS,095.168.427-20,82580217757,C1,BRASILEIRO(A),ERICK MENDONÇA,JULIA MELO
MARIA LUIZA GUERRA,03/03/1999,"04/07/1990, COSTA DE PIMENTA, RJ",07/06/2023,19/01/2029,RJ28982925 SSP RJ,186.359.024-24,34323164764,B1,BRASILEIRO(A),FRANCISCO BORGES,SRA. JADE SÁ
ANTHONY GABRIEL SOUZA,02/10/1997,"22/09/1989, PIMENTA DA PRATA, SE",23/04/2023,08/05/2030,SE28655437 SSP SE,857.940.632-38,18676556407,A,BRASILEIRO(A),DR. ISAAC RAMOS,SRA. MARIA VITÓRIA ALBUQUERQUE
GUILHERME CAMPOS,09/04/2007,"18/04/1995, DIAS DA PRATA, DF",19/02/2024,04/06/2032,DF10072998 SSP DF,382.460.571-62,18101040272,C1,BRASILEIRO(A),HENRY SANTOS,LUNNA SOUZA
LUIZ HENRIQUE BRITO,12/06/2007,"09/05/1964, VARGAS DO GALHO, RR",17/02/2025,06/11/2028,RR80347459 SSP RR,394.628.510-42,81944321619,C,BRASILEIRO(A),LUIZ MIGUEL CARDOSO,ANA LUIZA ARAÚJO
