nome_completo,primeira_hab,data_local_uf,data_emissao,validade,identidade_emissor_uf,cpf,num_registro,cat_hab,nacionalidade,filiacao_pai,filiacao_mae
DR. LUIZ MIGUEL BARROS,12/02/2004,"26/03/1961, RAMOS VERDE, PA",18/10/2025,13/04/2035,PA10270234 SSP PA,108.465.792-94,25858268286,A,BRASILEIRO(A),JOSÉ ARAÚJO,SRA. MARIA EDUARDA CARDOSO
JOÃO VITOR VASCONCELOS,21/12/1999,"31/12/1983, RIOS DA PRAIA, DF",22/03/2022,17/03/2028,DF59548512 SSP DF,017.368.249-96,88047640865,C1E,BRASILEIRO(A),DR. RENAN DA ROSA,DRA. CAROLINE RAMOS
DRA. OLIVIA RODRIGUES,12/03/1997,"13/08/1986, DAS NEVES, SC",16/01/2023,28/07/2030,SC36403678 SSP SC,742.591.360-70,46383283120,A,BRASILEIRO(A),CARLOS EDUARDO CASSIANO,MAITÊ ALBUQUERQUE
MARIA LIZ FERREIRA,12/02/1998,"25/11/1955, NOGUEIRA VERDE, ES",31/08/2021,14/09/2028,ES54304475 SSP ES,703.418.296-50,74654461506,B1,BRASILEIRO(A),BENJAMIM CAMPOS,HELOISA DA CRUZ
SR. JOAQUIM LIMA,21/06/1999,"20/03/1989, COSTA DE SIQUEIRA, TO",09/01/2025,01/10/2034,TO99312059 SSP TO,491.067.328-87,22584245061,D1E,BRASILEIRO(A),DR. ASAFE CASTRO,SRA. CAROLINA SIQUEIRA
ERICK PORTO,23/04/1997,"09/02/1994, PIRES, AC",31/05/2022,05/08/2025,AC83956153 SSP AC,027.135.468-26,46575333120,BE,BRASILEIRO(A),ARTHUR GABRIEL ANDRADE,MARIA ISIS PEIXOTO
LAÍS CAMPOS,30/07/2007,"28/06/1956, NASCIMENTO DO CAMPO, MA",16/06/2021,12/05/2031,MA25658464 SSP MA,561.278.439-28,26019628432,D,BRASILEIRO(A),FRANCISCO SOUZA,CECILIA PINTO
RENAN PEIXOTO,29/09/2006,"06/06/1976, CALDEIRA DE MINAS, RN",20/08/2025,02/07/2029,RN62150045 SSP RN,571.932.840-88,52995261219,A1,BRASILEIRO(A),EMANUEL NOGUEIRA,ANA JULIA CAMARGO
OTTO ALVES,08/01/1997,"26/12/2001, SANTOS DE MORAES, AM",24/08/2025,27/09/2031,AM21950413 SSP AM,341.862.590-89,89589504224,D,BRASILEIRO(A),ANTÔNIO CIRINO,MARIA LUÍSA CAMARGO
MARINA SANTOS,12/10/1998,"22/04/1973, SIQUEIRA DE MENDONÇA, MA",02/10/2023,22/12/2028,MA26395647 SSP MA,182.397.406-69,49579476940,CE,BRASILEIRO(A),CARLOS EDUARDO JESUS,OLIVIA FONSECA
