nome_arquivo,texto_extraido,quantidade_palavras,qr_detectado,color1_h,color1_s,color1_v,color2_h,color2_s,color2_v,color3_h,color3_s,color3_v,categoria,subpasta,transito,carteira,driver,habilitacao,nome,validade,identidade,cat,hab,cpf,assinatura,portador,transportes,assinado,digital,estadual,infraestrutura,emissor,proibido,plastificar
aug_imagem_1.jpg,,0,0,35,25,184,28,25,130,23,30,67,cnh_fisica,CNH_verso,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
aug_imagem_10.jpg,"12 OBSERVAGOES

DIRETOR DETRAN -

ASSINATURA DO EMISSOR

LOCAL :
CAVALCANTE, RR me 1

RORAIMA

TE aren gales
pt arly

th",21,0,28,48,128,24,30,162,15,67,23,cnh_fisica,CNH_verso,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
aug_imagem_100.jpg,"12 OBSERVACOES

DIRETOR DETRAN~

ASSINATURA DO EMISSOR

LOCAL

PACHECO, AC",10,0,20,70,11,27,64,112,27,29,156,cnh_fisica,CNH_verso,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
aug_imagem_101.jpg,"DIRETOR DETRAN-

ASSINATURA DO EMISSOR

LOCAL :
| CARVALHO, MG a HM

MINAS GERAIS",14,0,24,31,164,29,43,129,15,67,23,cnh_fisica,CNH_verso,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
aug_imagem_102.jpg,"12 OBSERVAGOES

DIRETOR DETRAN-

ASSINATURA DO EMISSOR

x <
LOCAL -
GARCIA DO AMPARO, AL a f

ALAGOAS

repens (gales ‘em
} apis

fe",24,0,27,52,112,25,32,145,12,91,14,cnh_fisica,CNH_verso,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
aug_imagem_103.jpg,"DIRETOR DETRAN~
ASSINATURA DO EMISSOR

RIO GRANDE DO NORTE

:
3",11,0,22,67,115,22,31,155,12,75,17,cnh_fisica,CNH_verso,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
aug_imagem_104.jpg,"ASSINATURA DO EMISSOR:

DIRETOR DETRAN

ral

a

oe
1

ree

3
2
a me)
a
fe
ie)
°
4

port
ahs

MACHADO DA SERRA, RS",25,1,24,59,121,16,83,34,22,31,156,cnh_fisica,CNH_verso,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
aug_imagem_105.jpg,,0,0,32,24,192,32,34,128,26,40,45,cnh_fisica,CNH_verso,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
aug_imagem_106.jpg,"'
Zz
<
r4
ia
uw
a)
4
2)
r
w
(3
a

[4
3
g
=
ry
Q
6
€
5
%
3
G
Q
<",27,0,27,53,126,25,26,168,15,34,30,cnh_fisica,CNH_verso,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
aug_imagem_107.jpg,,0,1,20,42,36,25,38,127,25,29,169,cnh_fisica,CNH_verso,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
aug_imagem_108.jpg,,0,0,20,20,38,24,32,121,28,24,168,cnh_fisica,CNH_verso,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
aug_imagem_109.jpg,"42 OBSERVAGOES

DIRETOR DETRAN =

ASSINATURA DO EMISSOR

LOCAL

DA LUZ, SC

SANTA CATARINA",14,0,15,76,27,25,31,158,27,60,119,cnh_fisica,CNH_verso,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0
aug_imagem_11.jpg,,0,0,27,26,179,25,34,129,23,36,56,cnh_fisica,CNH_verso,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
aug_imagem_110.jpg,"DIRETOR DETRAN~

ASSINATURA DO EMISSOR
LOCAL
ALBUQUERQUE DO OESTE, AP

(GOR eed, AMAPA

vere",14,0,26,63,117,15,60,17,24,31,163,cnh_fisica,CNH_verso,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
aug_imagem_111.jpg,,0,0,25,36,127,24,30,42,25,29,170,cnh_fisica,CNH_verso,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
aug_imagem_112.jpg,"42 OBSERVAGOES

DIRETOR DETRAN~

ASSINATURA DO EMISSOR

LOCAL
APARECIDA DAS FLORES, MT

«§. MATO GROSSO

vermin",16,1,25,31,156,15,64,8,27,63,109,cnh_fisica,CNH_verso,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
aug_imagem_113.jpg,"DIRETOR DETRAN -

ASSINATURA DO EMISSOR

LOCAL —
CAVALCANTE, ES . f

ESP{RITO SANTO",14,0,24,32,157,15,85,12,28,54,119,cnh_fisica,CNH_verso,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
aug_imagem_114.jpg,"12 OBSERVACOES

ASSINATURA DO EMISSOR

DIRETOR DETRAN -

LOCAL

RIO DE JANEIRO

OLIVEIRA DA MATA, RJ",16,0,18,58,22,24,30,161,28,49,125,cnh_fisica,CNH_verso,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
aug_imagem_115.jpg,"12 OBSERVACOES

DIRETOR DETRAN -

ASSINATURA DO EMISSOR

LOCAL

NOVAES, PA

2
Bs",13,0,27,56,122,25,30,159,19,70,29,cnh_fisica,CNH_verso,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
aug_imagem_116.jpg,"ASSINATURA DO EMISSOR

DIRETOR DETRAN~

x =
[a3
3
IC]
i)
2
2",13,0,25,29,158,27,58,118,12,64,20,cnh_fisica,CNH_verso,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
aug_imagem_117.jpg,"12 OBSERVACOES

ASSINATURA DO EMISSOR

DIRETOR DETRAN -

LOCAL

MATO GROSSO DO SUL

ALMEIDA, MS",15,0,29,44,127,23,29,160,18,64,20,cnh_fisica,CNH_verso,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
aug_imagem_118.jpg,,0,0,19,45,45,26,32,126,28,22,194,cnh_fisica,CNH_verso,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
aug_imagem_119.jpg,,0,0,24,32,112,0,0,16,28,25,164,cnh_fisica,CNH_verso,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
aug_imagem_12.jpg,,0,0,27,29,156,18,80,16,26,65,114,cnh_fisica,CNH_verso,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
aug_imagem_120.jpg,"pDIRETOR DETRAN™=

ASSINATURA po EMISSOR

9 DO SUL

ee

Pat ea

vi emial",13,0,15,68,15,25,29,157,27,62,115,cnh_fisica,CNH_verso,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
aug_imagem_121.jpg,"$
w
ra)
4
e
w
4
a

ASSINATURA 00 EMiSSOR",11,0,27,75,98,25,34,137,23,128,8,cnh_fisica,CNH_verso,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
aug_imagem_122.jpg,"DIRETOR DETRAN~

ASSINATURA 00 EMissor",5,0,19,78,26,27,61,118,25,31,157,cnh_fisica,CNH_verso,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
aug_imagem_123.jpg,"12 OBSERVACOES

DIRETOR DETRAN-

ASSINATURA DO EMISSOR",7,0,30,30,159,33,60,120,23,78,26,cnh_fisica,CNH_verso,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
aug_imagem_124.jpg,"42 OBSERVACOES

See

DIRETOR DETRAN-
———
ASSINATURA DO EMISSOR

LOCAL",10,0,25,31,157,27,64,111,15,73,7,cnh_fisica,CNH_verso,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
